classifier,n_folds,best_inner_accuracy_mean,best_inner_accuracy_std,n_candidates_mean,n_candidates_std,seconds_mean,seconds_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std
SVM,5,0.9302236315132648,0.0029387852187694272,6.0,0.0,9.585932140052318,4.8793448833136495,0.9340753424657535,0.004407375916518401,0.9231572477685207,0.01595149893504427,0.8525831223223358,0.006577448138105674,0.8662521844384731,0.008431935124249824,0.9347862989283078,0.006881608536585902,0.9340753424657535,0.004407375916518401,0.9271750707768216,0.0037214300912720537
RandomForest,5,0.9248290533812954,0.0013826492127373214,12.0,0.0,45.04084681998938,13.079860442099939,0.9289383561643836,0.003682502254727157,0.9052915500563268,0.006327749365256881,0.8440455443542845,0.02240533899262864,0.857338098586936,0.01945855459977648,0.9272959552034328,0.004035226516764352,0.9289383561643836,0.003682502254727157,0.9229785234466077,0.004222516097921525
AdaBoost,5,0.9235,0.0,18.0,0.0,17.641521379956977,1.9724669472268423,0.9241438356164384,0.004263664245886553,0.8756632447192734,0.011580819385845336,0.870686813359591,0.007337914980023159,0.8714482970932004,0.009220209483878392,0.9236058032015897,0.003240772757625566,0.9241438356164384,0.004263664245886553,0.923181026863215,0.003122548409056843
MLP,5,0.9144274521540469,0.004112490016105474,6.0,0.0,21.89914691997692,7.196045743985439,0.9191780821917808,0.011335694036070985,0.8991127053176189,0.03563600797072236,0.8131591631193057,0.028092420921184077,0.8188326931477782,0.026754931993397405,0.9201186560439141,0.010609812909406166,0.9191780821917808,0.011335694036070985,0.9078636489970687,0.012171431227956211
kNN,5,0.9080914137404228,0.003126067465105859,8.0,0.0,4.390483500016853,7.625483984985328,0.9068493150684931,0.003168964986870177,0.8740769083044307,0.018050605449631104,0.8157650182369309,0.011531201461900268,0.8296826282881679,0.011833301660006965,0.9023296519872777,0.003194965770615763,0.9068493150684931,0.003168964986870177,0.9006817626696266,0.0025215629262219344
MQ,5,0.7796252462068277,0.0017504775422269969,5.0,0.0,0.15861140005290503,0.023711017208049856,0.7787671232876712,0.0072040013588912915,0.6539423467421297,0.0074139402543989446,0.5961731853830783,0.01848291144333678,0.5798684728631208,0.025171591421601462,0.7624678169509058,0.008294780654360916,0.7787671232876712,0.0072040013588912915,0.7359527828005368,0.010477883344668103
