classifier,n_folds,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std,seconds_mean,seconds_std
RandomForest,5,0.9299657534246576,0.004825000960138842,0.904144527815604,0.006580172301774636,0.8424467023838211,0.027531016750739382,0.8543599858861208,0.02429475037418928,0.9285652041102702,0.005164005988633697,0.9299657534246576,0.004825000960138842,0.9237568077359006,0.006198886298300131,2.125657939957455,0.4896964983791996
MLP,5,0.9118150684931507,0.01120234742040832,0.8322763872260103,0.038922550895937706,0.7925793725749881,0.025246440803549007,0.7893406387047821,0.025347488333160605,0.8977618570245566,0.02098450317954175,0.9118150684931507,0.01120234742040832,0.8979983229311381,0.01345297123985765,3.059444920066744,1.0461431210343324
kNN,5,0.9063356164383561,0.004352145557239343,0.863129733673316,0.014597424109013204,0.827341717329999,0.018481071132086878,0.8393187048872865,0.016332356008566612,0.9022837180374301,0.004333264136183536,0.9063356164383561,0.004352145557239343,0.9025785297866635,0.0035077880477083876,0.12268090010620654,0.020676136791900616
SVM,5,0.9046232876712329,0.006351793490065575,0.7531061153813037,0.04203626743182396,0.76035806547581,0.009487071138973723,0.7482450410392387,0.01294863805872296,0.8722428587664636,0.009731224542364927,0.9046232876712329,0.006351793490065575,0.8855293066695615,0.006849111391415709,1.4442604400217534,0.43392557064886744
MQ,5,0.7791095890410958,0.00633792997374031,0.6544428813634882,0.006516445791162202,0.5975226878706404,0.01787379983489272,0.5815058047262702,0.02378972075575138,0.7628192977079743,0.006978702069669378,0.7791095890410958,0.00633792997374031,0.7364625074779013,0.009057521463349757,0.067972780065611,0.022673858657342786
AdaBoost,5,0.6094178082191781,0.053490475789505304,0.4046422727360608,0.12279543816203334,0.37378262931437056,0.08214716640915107,0.3300907351889718,0.09250895545419656,0.504907350804178,0.08614377977224734,0.6094178082191781,0.053490475789505304,0.5025764114389463,0.06458983536982425,1.7708993199747056,0.5909128968553923
