classifier,powers_only,powers_plus_wl,delta_wl
kNN,0.9070205479452055,0.8570205479452054,-0.050000000000000044
SVM,0.9340753424657535,0.9328767123287672,-0.0011986301369862895
MLP,0.9215753424657533,0.9506849315068493,0.02910958904109595
RandomForest,0.9297945205479452,0.9486301369863014,0.018835616438356184
AdaBoost,0.6094178082191781,0.6094178082191781,0.0
MQ,0.7791095890410958,0.8202054794520548,0.04109589041095896
