classifier,lambda_bin,n,lambda_mean,jaccard_mean,exact_mean,set_recall_mean
AdaBoost,"(1546.196, 1547.486]",640,1547.234710057813,0.991875,0.9796875,0.994921875
AdaBoost,"(1547.486, 1553.492]",560,1550.9431271321432,0.987857142857143,0.9696428571428571,0.9924107142857143
AdaBoost,"(1553.492, 1564.206]",720,1562.8603455069447,0.9055555555555556,0.7638888888888888,0.9409722222222222
AdaBoost,"(1564.206, 1580.189]",400,1573.0413352950004,0.976,0.94,0.985
MQ,"(1516.558, 1525.285]",640,1521.872356153125,0.945625,0.8640625,0.966015625
MQ,"(1525.285, 1529.743]",640,1528.9622860625002,0.8412499999999999,0.603125,0.90078125
MQ,"(1529.743, 1530.431]",480,1530.2009931833336,0.8275,0.56875,0.8921875
MQ,"(1530.431, 1532.269]",640,1531.3836928875003,0.9375,0.84375,0.9609375
MQ,"(1532.269, 1533.535]",560,1533.158190755357,1.0,1.0,1.0
MQ,"(1533.535, 1546.196]",560,1542.2780260839288,0.9492857142857143,0.8732142857142857,0.9683035714285714
MQ,"(1546.196, 1547.486]",640,1547.234710057813,0.99,0.975,0.99375
MQ,"(1547.486, 1553.492]",560,1550.9431271321432,0.9664285714285715,0.9160714285714285,0.9790178571428572
MQ,"(1553.492, 1564.206]",720,1562.8603455069447,0.8855555555555555,0.7138888888888889,0.9284722222222223
MQ,"(1564.206, 1580.189]",400,1573.0413352950004,0.846,0.625,0.9025
