classifier,fbg,tp,fp,fn,tn,precision,recall,f1,support_pos,error_rate
MLP,0,389,22,27,5402,0.9464720194647201,0.9350961538461539,0.9407496977025392,416,0.00839041095890411
MLP,1,1350,76,68,4346,0.9467040673211781,0.9520451339915373,0.9493670886075949,1418,0.024657534246575342
MLP,2,3090,20,3,2727,0.9935691318327974,0.9990300678952473,0.9962921167177172,3093,0.003938356164383562
MLP,3,3134,7,30,2669,0.9977714103788602,0.9905183312262958,0.9941316415543221,3164,0.006335616438356164
MLP,4,3918,64,29,1829,0.9839276745354093,0.9926526475804408,0.9882709042754445,3947,0.015924657534246576
MLP,5,3309,69,76,2386,0.9795737122557726,0.9775480059084195,0.9785598107348811,3385,0.02482876712328767
MLP,6,1727,20,181,3912,0.9885518030910132,0.9051362683438156,0.9450068399452805,1908,0.03441780821917808
MLP,7,2356,50,24,3410,0.9792186201163757,0.9899159663865547,0.9845382365231926,2380,0.012671232876712329
MLP,8,1359,7,37,4437,0.9948755490483162,0.9734957020057307,0.9840695148443158,1396,0.007534246575342466
MLP,9,1036,0,1,4803,1.0,0.9990356798457087,0.9995176073323685,1037,0.00017123287671232877
MLP,10,822,161,17,4840,0.8362156663275687,0.9797377830750894,0.9023051591657519,839,0.03047945205479452
MLP,11,276,17,20,5527,0.9419795221843004,0.9324324324324325,0.937181663837012,296,0.006335616438356164
MLP,12,81,0,0,5759,1.0,1.0,1.0,81,0.0
RandomForest,0,400,16,16,5408,0.9615384615384616,0.9615384615384616,0.9615384615384616,416,0.005479452054794521
RandomForest,1,1364,60,54,4362,0.9578651685393258,0.9619181946403385,0.9598874032371568,1418,0.01952054794520548
RandomForest,2,3091,6,2,2741,0.9980626412657411,0.9993533785968316,0.9987075928917609,3093,0.0013698630136986301
RandomForest,3,3146,3,18,2673,0.9990473166084471,0.9943109987357776,0.9966735308094409,3164,0.003595890410958904
RandomForest,4,3929,50,18,1843,0.9874340286504146,0.9954395743602736,0.9914206409285895,3947,0.011643835616438357
RandomForest,5,3325,55,60,2400,0.9837278106508875,0.982274741506647,0.9830007390983001,3385,0.019691780821917807
RandomForest,6,1765,16,143,3916,0.9910162829870859,0.9250524109014675,0.9568988885876931,1908,0.027226027397260273
RandomForest,7,2361,33,19,3427,0.9862155388471178,0.9920168067226891,0.9891076665270214,2380,0.008904109589041096
RandomForest,8,1362,2,34,4442,0.998533724340176,0.9756446991404012,0.9869565217391306,1396,0.0061643835616438354
RandomForest,9,1036,0,1,4803,1.0,0.9990356798457087,0.9995176073323685,1037,0.00017123287671232877
RandomForest,10,825,137,14,4864,0.8575883575883576,0.9833134684147795,0.9161576901721266,839,0.025856164383561645
RandomForest,11,281,16,15,5528,0.9461279461279462,0.9493243243243243,0.9477234401349072,296,0.005308219178082192
RandomForest,12,81,0,0,5759,1.0,1.0,1.0,81,0.0
AdaBoost,0,398,14,18,5410,0.9660194174757282,0.9567307692307693,0.961352657004831,416,0.005479452054794521
AdaBoost,1,1351,53,67,4369,0.9622507122507122,0.9527503526093088,0.9574769666902906,1418,0.02054794520547945
AdaBoost,2,3089,2,4,2745,0.9993529602070528,0.9987067571936631,0.9990297542043985,3093,0.0010273972602739725
AdaBoost,3,3151,4,13,2672,0.9987321711568938,0.9958912768647282,0.9973097009020414,3164,0.0029109589041095892
AdaBoost,4,3927,42,20,1851,0.9894179894179894,0.994932860400304,0.9921677614957048,3947,0.010616438356164383
AdaBoost,5,3331,68,54,2387,0.979994115916446,0.9840472673559822,0.9820165094339622,3385,0.02089041095890411
