accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,classifier,fold,seconds
0.9058219178082192,0.8493739767871105,0.8069651405794861,0.8224963603274563,0.9013075969612515,0.9058219178082192,0.9020150072337307,kNN,0,0.12413180014118552
0.8955479452054794,0.7257083417624187,0.7493781009317064,0.7354367912608488,0.8609451577031517,0.8955479452054794,0.8758382988363628,SVM,0,1.2093668999150395
0.8998287671232876,0.7671549511144243,0.7636956113273285,0.757236346692918,0.8716575212767883,0.8998287671232876,0.8830779114377799,MLP,0,2.1562187001109123
0.928082191780822,0.8980405937096592,0.8383487871072347,0.8535974547237817,0.9234334897834874,0.928082191780822,0.9224308403145277,RandomForest,0,1.753816100070253
0.553082191780822,0.23554209753611438,0.31609437838783006,0.23694735230647296,0.37531839399358247,0.553082191780822,0.42142215107973413,AdaBoost,0,1.4337354998569936
0.7756849315068494,0.6456298798458018,0.5859768901550313,0.5613297269637086,0.7600324047148267,0.7756849315068494,0.733634990133462,MQ,0,0.05516880005598068
0.8998287671232876,0.8723905713155092,0.8397575436066059,0.8533935982452088,0.8982705691790396,0.8998287671232876,0.8984747518486699,kNN,1,0.10228300001472235
0.898972602739726,0.7323795809692719,0.7543051002250583,0.7414006148549863,0.8651417369666817,0.898972602739726,0.880089690536896,SVM,1,1.1179667001124471
0.8972602739726028,0.827473067134671,0.7644506188294504,0.7618277649656147,0.8759675916243824,0.8972602739726028,0.8807966684171193,MLP,1,1.5943655001465231
0.9272260273972602,0.9140915658765236,0.843867007093072,0.864163763094069,0.927252580599308,0.9272260273972602,0.9233318531251313,RandomForest,1,1.3569495000410825
0.6558219178082192,0.5135953087287478,0.4711306704868724,0.4406014032666869,0.5810067821673488,0.6558219178082192,0.5677521792228488,AdaBoost,1,1.1621141999494284
0.7851027397260274,0.6552366012610934,0.6006994663816926,0.5881791954283262,0.7665183779051278,0.7851027397260274,0.7456723417943453,MQ,1,0.052829400170594454
0.913527397260274,0.8832971164864398,0.8255560045808006,0.8425308861865638,0.910226364779931,0.913527397260274,0.9086583156768662,kNN,2,0.1331137001980096
0.9075342465753424,0.7335406123609391,0.7571491281962768,0.7430642700195211,0.872469831810492,0.9075342465753424,0.8875983795047829,SVM,2,1.0020145000889897
0.9212328767123288,0.8881601936367913,0.7940922773701551,0.7968545982503548,0.9254889908368273,0.9212328767123288,0.909127615359053,MLP,2,3.2799275000579655
0.9238013698630136,0.896566151099359,0.8063778096057398,0.8184815675127185,0.9233659314987591,0.9238013698630136,0.9146298145375061,RandomForest,2,2.6328765999060124
0.6583904109589042,0.5328508003725878,0.44805036406214993,0.41735574736452696,0.5836514754803395,0.6583904109589042,0.5603915812466632,AdaBoost,2,1.3422177999746054
0.7688356164383562,0.6488082661961725,0.57000398567458,0.5471353822316766,0.7506739519931523,0.7688356164383562,0.7205453311432157,MQ,2,0.04154110001400113
0.9058219178082192,0.8667150518065888,0.8555356134479876,0.8596071739919104,0.9029727696563816,0.9058219178082192,0.9036615578789834,kNN,3,0.09888230008073151
0.9083904109589042,0.737044871478866,0.7642475981082881,0.7485735828468452,0.8732584647339634,0.9083904109589042,0.8887841505811722,SVM,3,2.146966899977997
0.916095890410959,0.8459818288986887,0.8172450920590503,0.8177374923838194,0.9018026538600121,0.916095890410959,0.9039019350951091,MLP,3,3.855312100145966
0.9375,0.9088303049748591,0.8911402836469463,0.8923458385152909,0.9366737153724296,0.9375,0.9340807247137225,RandomForest,3,2.364834899781272
0.6438356164383562,0.46054033367284253,0.38364241218143214,0.3441526532342894,0.555524806798769,0.6438356164383562,0.5355449536195264,AdaBoost,3,2.2003200000617653
0.785958904109589,0.6591416844502347,0.6206008933135317,0.610487285625468,0.7660421248428916,0.785958904109589,0.7442765991706262,MQ,3,0.09536450006999075
0.9066780821917808,0.8438719519709317,0.8088942844351145,0.8185655056852943,0.8986412896105463,0.9066780821917808,0.9000830162950669,kNN,4,0.1549937000963837
0.9126712328767124,0.8368571703350225,0.7767103999177198,0.772749946213992,0.8893991026180296,0.9126712328767124,0.8953360138885942,SVM,4,1.7449872000142932
0.9246575342465754,0.8326118953454763,0.8234132632889564,0.813046991231204,0.913892527524773,0.9246575342465754,0.9130874843466297,MLP,4,4.411400799872354
0.9332191780821918,0.9031940234176187,0.8324996244661129,0.843211305584744,0.9321003032973666,0.9332191780821918,0.9243108059886155,RandomForest,4,2.5198125999886543
0.535958904109589,0.2806828233700114,0.24999532145356823,0.211396519772883,0.42903529558085035,0.535958904109589,0.4277711920259589,AdaBoost,4,2.716109100030735
0.7799657534246576,0.663397975064138,0.6103322038283668,0.600397433382172,0.770829629083873,0.7799657534246576,0.7381832751478578,MQ,4,0.094960100017488
