features,classifier,jaccard_mean,jaccard_std,exact_mean
powers_only,kNN,0.9641780821917807,0.0022778478285365037,0.9104452054794521
powers_only,SVM,0.9739041095890411,0.002768682593343483,0.9347602739726029
powers_only,MLP,0.9648630136986303,0.005870466393757962,0.9121575342465753
powers_only,RandomForest,0.9731506849315069,0.002128804146290386,0.9328767123287671
powers_only,AdaBoost,0.9727397260273973,0.003634657304498999,0.9318493150684931
powers_only,MQ,0.9217808219178082,0.004737869266176352,0.8051369863013699
powers_plus_wl,kNN,0.9421004566210044,0.005728910593514093,0.8558219178082191
powers_plus_wl,SVM,0.974269406392694,0.002499556892404763,0.9357876712328768
powers_plus_wl,MLP,0.9780136986301369,0.0017781856144858477,0.9450342465753424
powers_plus_wl,RandomForest,0.9813698630136987,0.0024847064585229355,0.9534246575342464
powers_plus_wl,AdaBoost,0.981095890410959,0.0033930044045207197,0.9527397260273972
powers_plus_wl,MQ,0.9372374429223743,0.004384156162119718,0.8440068493150685
