classifier,n_folds,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std,best_inner_accuracy_mean,best_inner_accuracy_std,seconds_mean,seconds_std,accuracy_passo3,accuracy_delta
SVM,5,0.9340753424657536,0.0039420768606922,0.9231572477685208,0.0142674543847097,0.8525831223223358,0.0058830484621134,0.8662521844384731,0.0075417520478762,0.934786298928308,0.0061550977929395,0.9340753424657536,0.0039420768606922,0.9271750707768218,0.0033285482630389,0.9302236315132648,0.002628529408176,9.585932140052318,4.36421873790204,0.9046232876712328,0.0294520547945207
RandomForest,5,0.9289383561643836,0.0032937301475464,0.9052915500563268,0.0056597110901182,0.8440455443542845,0.0200399444185777,0.857338098586936,0.0174042603315965,0.9272959552034328,0.0036092163184378,0.9289383561643836,0.0032937301475464,0.9229785234466076,0.0037767332124158,0.9248290533812954,0.0012366790514868,45.04084681998938,11.698982833898366,0.9299657534246576,-0.001027397260274
MLP,5,0.9191780821917808,0.0101389529747174,0.8991127053176189,0.0318738145077037,0.8131591631193057,0.0251266251329219,0.8188326931477782,0.0239303386682482,0.920118656043914,0.0094897051575948,0.9191780821917808,0.0101389529747174,0.9078636489970688,0.0108864590436695,0.9144274521540467,0.0036783228931204,21.89914691997692,6.436338981099796,0.9118150684931507,0.00736301369863
kNN,5,0.9068493150684932,0.0028344084515833,0.8740769083044307,0.0161449523281613,0.8157650182369309,0.0103138201324215,0.8296826282881679,0.0105840267640146,0.9023296519872775,0.0028576642595526,0.9068493150684932,0.0028344084515833,0.9006817626696264,0.0022553544450302,0.9080914137404228,0.0027960397416908,4.390483500016853,6.820440220705272,0.906335616438356,0.000513698630137
MQ,5,0.7787671232876712,0.0064434546993927,0.6539423467421297,0.0066312297559832,0.5961731853830783,0.0165316185637639,0.5798684728631208,0.0225141558082205,0.7624678169509058,0.0074190773606404,0.7787671232876712,0.0064434546993927,0.7359527828005368,0.0093717037675962,0.7796252462068277,0.0015656747110025,0.158611400052905,0.0212077785171467,0.7791095890410958,-0.0003424657534246
AdaBoost,5,0.6498287671232876,0.0101157914299602,0.4874886379315894,0.0398367251982412,0.4008862793637739,0.0500547319000409,0.3650843728277785,0.0541472110747212,0.5904800197034403,0.0287627764821092,0.6498287671232876,0.0101157914299602,0.553961883905857,0.0145781568219995,0.6422453128293579,0.034197309690808,9.629544940032066,1.913764532589324,0.6094178082191781,0.0404109589041095
