strategy,repeat,fold,n_train,n_test,lambda_mean_train,lambda_mean_test,test_class_0,test_class_1,test_class_2,test_class_3,test_class_4,test_class_5,test_class_6,test_class_7,test_class_8,test_class_9
A_StratifiedKFold,0,0,4672,1168,1541.5372269171664,1541.6030832208905,83,201,334,14,241,86,38,112,43,16
A_StratifiedKFold,0,1,4672,1168,1541.555702202055,1541.5291820813359,83,201,335,14,240,87,37,112,43,16
A_StratifiedKFold,0,2,4672,1168,1541.557116904324,1541.5235232722603,83,201,334,15,240,87,38,111,43,16
A_StratifiedKFold,0,3,4672,1168,1541.5710871085191,1541.4676424554798,84,201,334,14,240,87,38,111,43,16
A_StratifiedKFold,0,4,4672,1168,1541.5308577574915,1541.6285598595891,83,201,334,14,240,87,38,111,44,16
